epochs steps out_loss offset_loss train_accuracy time
10 24 1.346 2.678 0.558 222.343
10 25 1.593 2.876 0.476 222.547
10 26 1.522 2.480 0.615 222.761
10 27 1.253 2.704 0.623 223.026
10 28 1.171 2.728 0.690 223.218
10 29 1.247 2.822 0.671 223.420
10 30 1.188 2.632 0.614 223.621
10 31 1.872 2.943 0.535 223.814
10 32 1.309 2.629 0.664 224.106
10 33 1.330 2.778 0.587 224.364
10 34 2.513 2.648 0.532 224.560
10 35 1.213 2.519 0.722 224.744
10 36 1.508 2.792 0.588 224.944
10 37 1.436 2.671 0.645 225.137
10 38 1.450 2.549 0.683 225.333
10 39 0.888 2.624 0.806 225.543
10 40 1.254 2.589 0.723 225.739
10 41 1.053 2.517 0.777 225.950
10 42 1.330 2.687 0.735 226.144
10 43 1.802 2.856 0.586 226.330
10 44 1.325 2.612 0.681 226.516
10 45 1.144 2.447 0.750 226.702
10 46 1.674 3.048 0.529 226.897
10 47 1.195 2.614 0.666 227.099
10 48 1.589 2.737 0.602 227.300
10 49 1.547 2.761 0.599 227.486
11 0 1.411 2.691 0.662 238.651
11 1 1.229 2.754 0.728 238.849
11 2 1.849 2.895 0.489 239.108
11 3 0.982 2.478 0.750 239.324
11 4 0.924 2.468 0.768 239.688
11 5 0.947 2.427 0.749 239.947
11 6 1.281 2.585 0.673 240.133
11 7 1.340 2.585 0.693 240.338
11 8 1.231 2.657 0.676 240.554
11 9 1.279 2.730 0.696 240.758
11 10 1.401 2.759 0.633 240.961
11 11 1.275 2.863 0.680 241.156
11 12 1.399 2.510 0.698 241.372
11 13 1.456 2.590 0.626 241.583
11 14 1.564 2.590 0.622 241.794
11 15 1.420 3.003 0.602 241.992
11 16 1.416 2.667 0.666 242.231
11 17 1.284 2.804 0.736 242.445
11 18 1.209 2.440 0.641 242.674
11 19 0.997 2.580 0.763 242.889
11 20 1.476 2.794 0.616 243.145
11 21 1.378 2.696 0.617 243.339
11 22 1.521 2.517 0.681 243.530
11 23 1.224 2.279 0.678 243.743
11 24 1.081 2.502 0.727 243.957
11 25 2.014 2.902 0.454 244.144
11 26 1.185 2.570 0.652 244.347
11 27 1.474 2.580 0.594 244.589
11 28 1.479 2.826 0.580 244.806
11 29 1.497 2.761 0.599 245.002
11 30 1.468 2.731 0.619 245.207
11 31 1.190 2.724 0.689 245.415
11 32 1.731 2.678 0.529 245.628
11 33 1.582 2.684 0.582 245.814
11 34 1.049 2.744 0.723 246.007
11 35 1.342 2.592 0.622 246.200
11 36 1.870 2.695 0.480 246.400
11 37 1.354 2.486 0.663 246.587
11 38 1.308 2.835 0.630 246.757
11 39 1.371 2.568 0.558 246.943
11 40 0.703 2.509 0.856 247.127
11 41 1.235 2.729 0.687 247.324
11 42 1.221 2.770 0.716 247.523
11 43 1.731 2.714 0.510 247.712
11 44 1.392 2.446 0.627 247.899
11 45 1.447 2.712 0.609 248.107
11 46 1.346 2.539 0.689 248.299
11 47 1.455 2.697 0.639 248.482
11 48 1.229 2.507 0.755 248.678
11 49 1.415 2.730 0.567 248.873
12 0 1.024 2.558 0.721 260.715
12 1 1.348 2.654 0.644 261.021
12 2 1.218 2.692 0.588 261.251
12 3 1.461 2.568 0.617 261.513
12 4 0.876 2.506 0.758 261.714
12 5 1.220 2.770 0.688 261.901
12 6 1.354 2.401 0.633 262.173
12 7 1.450 2.472 0.627 262.396
12 8 1.345 2.422 0.674 262.647
12 9 1.631 2.746 0.557 262.840
12 10 1.176 2.524 0.666 263.067
12 11 1.538 2.456 0.543 263.275
12 12 1.254 2.623 0.632 263.488
12 13 1.254 2.639 0.667 263.682
12 14 1.467 2.562 0.591 263.886
12 15 1.034 2.491 0.714 264.077
12 16 1.259 2.623 0.660 264.284
12 17 1.355 2.606 0.663 264.493
