epochs steps out_loss offset_loss train_accuracy time
12 7 0.978 2.503 0.694 258.900
12 8 0.913 2.616 0.671 259.140
12 9 1.010 2.892 0.723 259.348
12 10 1.419 2.903 0.559 259.579
12 11 1.093 3.058 0.684 259.791
12 12 0.924 2.581 0.722 260.004
12 13 1.343 2.760 0.589 260.226
12 14 1.045 2.701 0.655 260.442
12 15 0.956 2.674 0.728 260.651
12 16 0.769 2.599 0.777 260.860
12 17 0.695 2.706 0.797 261.067
12 18 0.619 2.615 0.820 261.283
12 19 1.090 2.605 0.649 261.507
12 20 0.983 2.504 0.698 261.699
12 21 1.196 2.598 0.591 261.909
12 22 0.884 2.869 0.703 262.089
12 23 1.066 2.459 0.647 262.310
12 24 0.752 2.678 0.763 262.523
12 25 1.237 2.517 0.608 262.744
12 26 1.080 2.714 0.682 262.966
12 27 1.378 2.758 0.566 263.204
12 28 0.943 2.657 0.700 263.418
12 29 1.134 2.766 0.624 263.628
12 30 0.836 2.477 0.760 263.848
12 31 0.786 2.598 0.807 264.061
12 32 1.031 2.836 0.649 264.300
12 33 0.796 2.453 0.806 264.509
12 34 1.289 2.733 0.602 264.715
12 35 0.812 2.521 0.746 264.913
12 36 1.301 2.847 0.581 265.108
12 37 1.016 2.605 0.662 265.301
12 38 0.805 2.650 0.765 265.515
12 39 1.076 2.777 0.608 265.719
12 40 0.999 2.635 0.680 265.921
12 41 0.790 2.658 0.767 266.124
12 42 1.144 2.908 0.648 266.330
12 43 1.257 2.702 0.607 266.546
12 44 1.103 2.734 0.633 266.775
12 45 1.071 2.677 0.676 266.976
12 46 0.839 2.511 0.735 267.166
12 47 0.751 2.598 0.819 267.381
12 48 1.096 2.310 0.654 267.587
12 49 1.098 2.816 0.659 267.787
13 0 1.055 2.844 0.639 277.801
13 1 1.452 2.722 0.485 278.046
13 2 1.295 2.845 0.549 278.310
13 3 0.706 2.699 0.800 278.547
13 4 1.163 2.657 0.571 278.797
13 5 1.178 2.632 0.551 279.054
13 6 0.868 2.552 0.705 279.311
13 7 0.804 2.653 0.733 279.617
13 8 1.512 2.850 0.511 279.833
13 9 1.165 2.584 0.602 280.062
13 10 1.057 2.698 0.651 280.273
13 11 0.936 2.494 0.708 280.492
13 12 0.973 2.536 0.671 280.722
13 13 1.061 2.628 0.661 280.950
